agecell,mva_deaths,over21
19.06849289,35.82932663,FALSE
19.15068436,35.63925552,FALSE
19.23287582,34.20565033,FALSE
19.3150692,32.27895737,FALSE
19.39726067,32.65096664,FALSE
19.47945213,32.72144318,FALSE
19.5616436,36.38519669,FALSE
19.64383507,34.18793488,FALSE
19.72602654,31.91046715,FALSE
19.80821991,30.57683182,FALSE
19.89041138,33.53165436,FALSE
19.97260284,33.60344315,FALSE
20.05479431,31.7728157,FALSE
20.13698578,34.29830933,FALSE
20.21917725,33.32011032,FALSE
20.30137062,32.75940323,FALSE
20.38356209,30.58904648,FALSE
20.46575356,31.28775024,FALSE
20.54794502,30.2989254,FALSE
20.63013649,30.2301178,FALSE
20.71232796,30.12257767,FALSE
20.79452133,29.74464989,FALSE
20.8767128,30.71791649,FALSE
20.95890427,30.41713905,FALSE
20.99999046,NA,FALSE
21,NA,FALSE
21.04109573,36.31680679,TRUE
21.1232872,32.57579803,TRUE
21.20547867,33.02229309,TRUE
21.28767204,35.10687256,TRUE
21.36986351,32.35869598,TRUE
21.45205498,32.45526123,TRUE
21.53424644,31.53368759,TRUE
21.61643791,30.0986824,TRUE
21.69862938,30.3882885,TRUE
21.78082275,31.74225807,TRUE
21.86301422,34.48193359,TRUE
21.94520569,31.54001236,TRUE
22.02739716,31.83429337,TRUE
22.10958862,29.55154991,TRUE
22.19178009,30.83698845,TRUE
22.27397346,29.8578949,TRUE
22.35616493,28.75559044,TRUE
22.4383564,27.6492691,TRUE
22.52054787,28.26013565,TRUE
22.60273933,29.23415184,TRUE
22.6849308,29.5287571,TRUE
22.76712418,27.44976044,TRUE
22.84931564,26.85506439,TRUE
22.93150711,27.3893013,TRUE
